NORDEN,IDHOGAR,TMUNI,NHOGAR,EHOGAR,SEXO,EDAD,NACIONALIDAD,ESTUDIANTE,REGLADO,NOREGLADO,Nivel_estudios,Nivel_estudios_especifico,Tipo_educacion,Localización_Centro,importe_matricula_clases,servicio_comedor,importe_comedor,servicio_transporte,importe_transporte,servicio_alojamiento,importe_alojamiento,servicio_ampliacion_horario,importe_ampliacion_horario,servicio_clases_apoyo,importe_clases_apoyo,servicio_actividades_extraescolares,importe_actividades_extraescolares,servicio_actividades_complementarias,importe_actividades_complementarias,servicio_cuota_ampa,importe_cuota_ampa,servicio_otros,importe_otros_servicios,servicio_clases_particulares,importe_clases_particulares,importe_escuela_idiomas,importe_estudios_idiomas_no_reglados,importe_ensenanzas_artisticas,importe_oposiciones_pruebas_acceso,importe_otros_estudios,gasto_libros,importe_libros,gasto_fotocopias,importe_fotocopias,gasto_uniformes,importe_uniformes,gasto_papeleria,importe_papeleria,gasto_muebles_accesorios,importe_muebles_accesorios,gasto_productos_informaticos,importe_productos_informaticos,gasto_otros_bienes,importe_otros_bienes,gasto_total_educacion,gasto_total_servicios,gasto_total_servicios_reglados,gasto_total_servicios_no_reglados,gasto_total_bienes,FACTOR
38,1,100.000-499.999 habitantes,3,1,Hombre,13,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza concertada,Municipio Residencia,500,2,0,2,0,2,0,2,0,2,0,1,60,2,0,1,30,2,0,2,0,0,0,0,0,0,1,200,1,30,1,40,1,30,2,0,2,0,1,20,910,590,590,0,320,2419.343963
94,3,100.000-499.999 habitantes,4,1,Hombre,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,25,2,0,2,0,2,0,2,0,2,0,1,600,2,0,1,15,1,25,2,0,0,0,0,0,0,2,0,2,0,1,200,2,0,2,0,2,0,2,0,865,665,665,0,200,2777.1123
115,4,100.000-499.999 habitantes,4,2,Hombre,22,Doble nacionalidad,Sí,Sí,No,Educación Secundaria,Otros estudios de educación secundaria,Enseñanza pública,Municipio Residencia,40,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,40,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,40,40,40,0,0,2929.038358
120,4,100.000-499.999 habitantes,4,2,Hombre,17,Doble nacionalidad,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,340,0,0,0,1,90,1,20,2,0,1,40,2,0,2,0,2,0,490,340,0,340,150,2929.038358
173,5,100.000-499.999 habitantes,5,4,Hombre,8,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,0,2,0,2,0,2,0,2,0,2,0,1,50,1,25,2,0,2,0,0,0,0,0,0,1,58,2,0,2,0,1,26,2,0,2,0,2,0,159,75,75,0,84,2222.159373
189,5,100.000-499.999 habitantes,5,4,Hombre,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,1,360,2,0,2,0,2,0,2,0,2,0,1,42,1,20,2,0,2,0,0,0,0,0,0,1,12,2,0,2,0,1,60,2,0,2,0,2,0,494,422,422,0,72,2222.159373
192,5,100.000-499.999 habitantes,5,4,Mujer,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,1,360,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,12,2,0,2,0,1,60,2,0,2,0,2,0,432,360,360,0,72,2222.159373
46133,6,100.000-499.999 habitantes,4,2,Hombre,16,Española,Sí,Sí,No,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Municipio Residencia,50,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,65,2,0,2,0,1,50,2,0,2,0,2,0,165,50,50,0,115,2899.138712
46148,6,100.000-499.999 habitantes,4,2,Hombre,14,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza concertada,Municipio Residencia,880,2,0,2,0,2,0,2,0,1,0,2,0,2,0,1,15,1,20,2,0,0,0,0,0,0,1,324,2,0,1,60,1,100,2,0,2,0,2,0,1399,915,915,0,484,2899.138712
46151,7,100.000-499.999 habitantes,4,4,Hombre,42,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza privada,Municipio Residencia,1400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1400,1400,1400,0,0,1937.650821
